sample,type,season,merge,site,Rainfall,Temperature,Turbidity,Salinity,pH,TN,TP,COD,totalMP,SO2,DO,velocity,lifestyle,Richness,Gini_simpson,Evenness,indicator.ratio,total.ratio,indicator.rb
227,NP,4.nov,np4,B0,0,28.4,5.2,0.4,7.7,3.4,0.2,10,1.5,32.9,8.3,0.3,lysogenic,630,0.98432065,0.744739002,,,
228,NP,4.nov,np4,C1,0,25.3,9.5,0.1,10.6,2.2,0.2,23,1,13.6,6.9,1,lysogenic,693,0.942421456,0.59851767,,,
229,NP,4.nov,np4,C2,0,24.7,2.2,19,7.2,2.5,0,14,0.5,167,5.2,0.1,lysogenic,1051,0.987877429,0.73678296,,,
230,NP,4.nov,np4,D1,0,27,2.6,0.3,7.5,9.4,0.7,38,0.4,51.7,7.3,0.6,lysogenic,904,0.978413147,0.703825015,,,
231,NP,4.nov,np4,D2,0,26.7,12.4,1.4,7.2,4.9,0.3,12,0.3,120,2.8,0.1,lysogenic,807,0.958234068,0.622770071,,,
232,NP,4.nov,np4,E0,0,27.6,5.5,0.1,7.3,9,1.1,8,0.8,54.2,7.5,0.1,lysogenic,609,0.970010557,0.648397365,,,
233,NP,4.nov,np4,F1,0,24.4,1.5,0,7.1,0.5,0,5,1.1,8.6,8.4,0.1,lysogenic,601,0.929033854,0.567800355,,,
234,NP,4.nov,np4,F2,0,26.3,5.9,0,7.3,0.7,0,4,0.4,9.7,8.3,2.2,lysogenic,900,0.964735257,0.679022642,,,
235,NP,4.nov,np4,F3,7,24.5,10.9,2.1,7.4,1.3,0.1,28,1.4,33.7,7.4,0.1,lysogenic,1289,0.977664953,0.694773267,,,
236,NP,4.nov,np4,G1,7,29.4,1.7,22,8.1,1.9,0,14,0.8,133,7.5,0,lysogenic,835,0.962114522,0.718759166,,,
237,NP,4.nov,np4,G2,7,29.2,3.3,14.8,7.9,2,0,7,2.2,94.7,7.4,0,lysogenic,758,0.974995503,0.67907024,,,
238,NP,4.nov,np4,H0,0,28,3.1,7.8,7.2,0.9,0,6,1.9,42.9,7,0.3,lysogenic,700,0.984511368,0.748702852,,,
239,NP,4.nov,np4,I0,0,25.6,2.1,2.8,7.4,0.4,0,4,0.5,9.5,8.6,0,lysogenic,575,0.972022787,0.64960335,,,
240,NP,4.nov,np4,J0,0,24.4,1.4,0,7.3,1.4,0,6,0.5,14.3,8,0.3,lysogenic,787,0.980740519,0.71421753,,,
